idx,class,conversation
265,일상 대화,"  요즘 길가에 나가보면 강아지 산책시키는 사람들이 많이 보이더라고.
  그렇더라. 근데 가끔 목줄 안하고 그냥 풀어놓는 사람들도 있어.
  나도 몇 번 봤어.
  그러면 안되는거 아니야?
  당연히 안되지! 만약 그러다가 물면 어떡하려고?
  그러니까. 애초에 법률적으로도 목줄 안하다가 강아지가 다른 사람을 물면 다 견주 책임이라고 하던대.
  맞아. 그건 당연한거지.
  자기 강아지니 자기가 조심시켜야지.
  그래서 몇몇 견주들은 목줄보다 하네스 같은 몸줄을 하는 경우도 있더라고.
  몸줄? 몸줄이면 목줄처럼 강아지가 스스로 풀지 못하니 조금 더 안전하려나?
  그렇지. 그리고 몸줄이 강아지에게 조금 더 안전하다고 하더라고.
  하긴, 뭐 할 때 마다 목을 잡아당기는 것 보다는 몸을 잡아당기는게 낫겠지."
266,일상 대화,"  아 괌으로 여행 가고 싶다 키키
  나는 러시아 갈 거야 이번에
  단양 여행 가 보고 싶다 나는 키키
  위드 코로나인데 그냥 가 버려? 키키
  그래서 혼자 한번 갈려고 진짜
  그냥 가자~
  어차피 안고 가야 해
  코로나는 키키
  단양 좋지 키키
  거기 머가 유명해? 키키
마자
  가자 모두 가치 키키
  맞아 키키
  어쩔 수 없어 키키
  키키 그건 너 알아서 하고 나 키키
  티엠아이네 정말
그래
  한번 가자
  단양 조치
  단양은 패러글라이딩이랑 떡갈비 키키
  단양 같이 가자 키키 ?
  거기 머가 유명해
  궁금하다 진짜
  금강산도 식후경이지 키키
  먹고 보자
  오 좋지
  패러글라이딩  같이 
그래
  한번 가치 가자 진짜 키키
  근데 무서워 보이더라고
  너네 좋아?"
267,일상 대화,"  아 요즘 다크서클 많이 내려와서 피부 썩어 보임
  에엥 요즘만 그런 겨?
  원래 그랬잖어
  시 전에는 자야 피부가 재생된대
  일찍 자자
  아녀 나 원래 다크서클은 없었어
  피부도 좋았구 
  그러게 비타민 먹어야 하는 거 아니여
  마스크 벗기 전까지는 피부 난리 예정
  비타민 먹으면 확실히 피부톤이 밝아지더라
  오오 그래? 그럼 비타민이라도 먹엉
  얼마나 먹어야 아이유처럼 하얘질까
  그러게 키키 진짜 아이유 피부도 좋아 보이고 톤도 너무 밝고 투명해
  키키 아이유는 주사 맞은 거 아니냥
  아이유는 그거 비타민 주사도 맞은 거래
  그거 엄청 비싸 
  아 정말 ? 하긴 피부에 들어가는건 다 비싸더라
  그니까 그거 만 원인가 들음
  피부과가 그래서 장사가 잘되남...
  코로나로 돈 좀 벌었겠다잉
  아 나도 피부과 원장 남편 만나고 싶다
  그러게 부럽다 원장이라늬
  맨날 시술 받을 듯
  나도 그럼 매일 병원 갈 거야
  매일 집에서 해 달라고 땡깡 피울 거야
  오늘부터 내 롤모델 박명수"
268,일상 대화,"  나 SNS하다가 깜짝 놀랐었어.
  왜? 하다가 뭐라도 봤어?
  응. 지인분이 뱀을 키우시더라고.
  정말? 뱀 키우는 사람 주변에서 처음 봐.
  나도야. 나는 뱀을 무서워해서 보자마자 너무 놀랐어.
  그랬구나. 핸드폰 떨어뜨리진 않았어?
  다행히 침대에 누워있다봐서 괜찮았어.
  다행이다. 나도 좀 놀랐을거같아.
  너는 뱀 키울 수 있어?
  글쎄. 나는 좀 어려울 거 같아."
269,일상 대화,"  다들 백신은 접종 했어?
  나는 저번주 금요일에 차접종까지 완료했어.
  나도 저번주 아침에 맞았어
  나는 아직 시기를 놓쳐서 미접종 상태인데, 다들 부작용 같은 건 없었어?
  나는 부작용으로 림프절이 부어서 열도나고 그랬어.
  그 당일날은 괜찮았는데 그 다음날 도까지 올랐어
  그렇구나. 나도 맞아야 하나 걱정이 되네.
  그래도 대다수 사람들이 다 접종완료해가고, 앞으론 위드 코로나가 될텐데 접종하는게 좋지 않을까?
  근데 젊은 성인들은 맞고서 안좋게 되는 경우도 많이 봐서 그게 제일 걱정일수도 있을거같아
  안좋게 되는 경우라니?
  어떤 경우들을 봤길래?
  발열, 림프절 부음, 심근염이나 심낭염 증상. 아나필락시스 쇼크알레르기 반응 등 여러 증상들도 있고 뉴스를 보니까 심하면 죽는 사람들도 있더라.
  맞아. 젊은사람들은 알레르기 때문에 기도도 붓는경우도 봤었어.
  그런 이야기들을 들으니까 조금은 섬뜩하네.
  그래도 모두를 위해서 접종 하는 게 맞는 것 같다는 생각이 들어.
  잘 생각했어 특별한 기저 질환 같은 게 없으면 괜찮을 거야.
  아니면 차만 맞고 보는것도 나쁘지 않다고 생각해~!"
270,일상 대화,"  요즘 피부 탄력이 많이 떨어진가 같아서 콜라겐을 먹어볼까 하는데 어때?
  난 콜라겐 먹고 있어
  나 먹고 있는데 확실히 주름예방과 탄력에도 도움을 받는거 같아
  정말? 언니가 먹는 콜라겐은 뭐야?
  요즘은 먹기편하게 젤리로도 나오더라고
  난 뉴트리원 제품 먹고 있는데 가루형태인데 물이랑 먹으면 먹을만 해
  응 난 알약보다 가루가 더 맞는거같아
  젤리형태로 된 콜라겐도 괜찮겠다
  응 후기보면 맛도 있어서 약같이 느껴지지않는다하네
  그래? 젤리는 한번도 안먹어봤는데 궁금하네
  맛도 중요하지만 효과가있어야하니 후기를 자세히 봐야겠어
  응 꼼꼼히 찾아봐
  좋은 제품 구입하길 바랄게"
271,일상 대화,"  요즘 사람들 등산 많이 하는거 같아요
  그럼요 등산 좋지요~
  지금 날씨에 딱인거 같아요
  맞아요 살짝 쌀쌀정도요
  그닌깐요 이번주에 또 등산 갈까봐요
  그래요 이번주엔 단풍이 좀 들었을것 같아요
  매주 단풍이 다르니 매주마다 가고싶어요
  난 유명산들도 가고 싶어요
  저두요 근데 몸이 따라줄지가 걱정이에요
  그렇긴 한데 단풍이 얼마나 예쁠까요? 같이 가봐요"
272,일상 대화,"  다들 반려동물로 앵무새를 키우는건 어떻게 생각해?
  나는 새를 좋아한다면 괜찮을 거 같은데?
  또 말을 가르치는 재미도 있을 거 같아 키키
  나는 새를 별로 좋아하지 않아서 가끔 지나가다 보는 건 괜찮은데 같이 산다고 하면 조금 부담스럽지 않을까 싶어
  근데 앵무새가 말도 잘 듣고 실제로 보면 엄청 귀엽대.
  똑똑한 새들은 말도 잘 통한다 하더라고
  오 귀여울 거 같긴 하다!
  만약 키운다면 나는 개인적으로 앵무새 중에서 덩치가 큰 앵무새를 키울 거 같아
  너무 작으면 뭔가 쓰다듬거나 할 때 손맛이 부족하달까...
  나는 그리고 앵무새가 내가 무심코 뱉은 말들을 따라하면 소름돋을 거 같아서 무서워...
  그건 조금 무섭긴 하겠다...
  그래도 산책도 가능하다던데 산책할때 팔에 새 한마리 딱 데리고 가면 멋지지 않을까?
  티비에서 봤던 머리에 새 올려두고 산책하시던 스님이 생각나네...
  그런데 새는 산책시킬 때 목줄 같은 거를 어떻게 해결할까?
  도망갈 수도 있잖아 불안할 거 같아
  그러게 다들 어떻게 키우려나 궁금하다
  그래도 목줄은 하겠지?
  아마도 그렇지않을까?
  만일에 대비해서 날개깃을 자르는경우도 있다고 들었어
  날개깃을 자르는건 조금 마음이 아프다 
  차라리 난 목줄을 채우던지 할거같아...
  정말? 날개깃을 자르는구나...
  나도 마음이 좀 아프다
  다른 방법은 없으려나?
  아니면 최대한 훈련을 잘 시켜서 도망가지 않도록 주인과 신뢰를 잘쌓는것도 방법이지 않을까?
  아무래도 앵무새는 지능이 높다고 그러니까!
  그렇겠네! 만약 도망가면 자신이 새에게 사랑을 덜 준게 아닐까 생각해 봐야겠네
  나는 그래도 강아지를 키울래"
273,일상 대화,"  엔딩크레딧까지 보고 나와?
  아니 보통은 안보고 나오지
  보통 사람들은 그렇지
  왜 엔딩크레딧 보고 나와?
  응 나는 친구가 영화관련된 일을 하니깐 보고 나오게되더라고
  아 그러면 그럴 수 있지
  이제는 습관이 되서 끝까지 항상봐
  매너가 있는 관객이네
  친구가 고마워 하더라구
  나같아도 고맙겠다"
274,일상 대화,"  난 강아지 키우고 싶어
  나는 고양이를 키우고 싶어
  난 얼마 전에 강아지랑 같이 놀았는데 너무 행복했어
  이구아나 키울까 생각중이야 키키
  강아지는 너무 할퀴잖아
  그래도 애교 부리는 거 보니까 키우고 싶더라
  상어는 키우기 쉬울까?
  요즘에 호랑이도 괜찮다 하더라고
  상어나 호랑이보단 코끼리 어때?
  차라리 고래를 키우는 게 나을 수도 있겠어
  상어는 너무 무서워 
  코끼리는 말을 잘 듣는다고 하더라구
  코끼리는 너무 작잖아 마당에서 키우기에는
  너희는 고래 잡아봤어?
  그렇구나
  나도 우리집 앞마당 호수에 고래 키워 하하
  코끼리는 손이 코라고 하더라구
  과자를 주면 코로 받아먹는다면서?
맞아
  코로 물을 뿜기도 해"
275,일상 대화,"  동생이랑 다퉜어
  왜?
  얼른 취업하라고 하더라
  지가 뭔데 그래
  보기에 답답한가봐
  동생이나 잘하라 그래
  동생은 어릴때부터 돈을 벌었는걸
  흠... 그럼 좀 답답할 수 있겠구나
  얘기를 다시 해봐야겠어
  조언을 귀담아듣는거도 좋을거같아"
276,일상 대화,"  넌 게임을 언제부터 했어?
  나는 초등학생때부터 했어.
  정말 한지 오래됐다.
  맞아. 십년도 넘었지.
  아직도 게임 하는게 재미있어?
  응, 나는 게임하는게 너무 좋아.
  요즘 흥미있게 하는 게임이 뭐야?
  로스트아크라는 게임이야.
  처음 들어본다. 재미있어?
  처음엔 어려웠는데 지금은 적응되서 할만 해."
277,일상 대화,"  아 오늘 야근해서 너무 힘들어
  고생했어! 너무 늦은 시간이다
  야근 후 캔맥은 국룰이지
  안주는 뭘로 먹게?
  안주는 육개장 사발면에다가…
  하루의 피로를 풀어줘야지
  그래도 내일 주말이라 다행이야
  주말엔 출근 안 하지?
  응 주말엔 안 해
  시원하게 맥주 먹고 푹 쉬어"
278,일상 대화,"  이번에 수제 간식 뭐 사주지
  꼭 수제여야 돼? 왜?
  그냥 그게 건강에 좋아 보이잖아
  그렇긴 한데 다 똑같을걸?
  우리 이 다이어트 해야 돼서 칼로리 걱정도 해야 되고
  수제 간식이 칼로리 더 높아...
  헐 나 처음 알았어 정말로? 거짓말
  아니야 키키 수제 간식들 거의 다 고기류잖아
  충격인데 이거 강아지 건 거의 칼로리 안 써져 있잖아
  응응 고구마 말린 수제 간식 칼로리 엄청 높음"
279,일상 대화,"  미국 유럽 학교에서 오징어게임 의상 금지라던데?
  아 할로윈 파티 때 말하는건가?
  응 그거 맞을거야
  인기가 많긴 하나보다
  진짜 세계적으로 장난아닌듯
  요즘 마이네임도 인기 많단다
  우리나라 문화가 진짜 수준이 높은듯
  응 전 세계적으로 대세지
  우리나라 말이 동양의 불어래
  오 그렇게 매력있게 어필하는건가"
280,일상 대화,"  아 백신패스 기사 봤지?
  응응 잘된 거 같아!
  나는 헬스장 다니니까 꼭 백신 다 맞으려고
  응응 맞고 나니까 훨씬 마음이 가벼워지더라 키키
  너는 다 맞았구나? 그럼 백신패스 도입돼도 상관없겠네!
  응응 키키 글치 키키 그리고 난 백신패스가 차별이 아니라 혜택이라고 생각해 넌?
  나도 그렇게 생각해! 이 기회에 다들 백신 맞으면 좋겠네
  응응 다른 사람들 집단 면역에 무임승차하는 사람들 줄었으면 좋겠어 키키
  백신패스 시행되면 뭔가 좀 심각성을 느끼겠지?
  응응 다들 자기뿐만 아니라 다른 사람들도 생각하게 되는 계기가 되길 바라!"
281,일상 대화,"  이번에 내 친구 강아지 수술한데 ㅜㅜ
  헐 왜? 무슨 수술?
  헐 어쩌다가...
  결석이 생겼다고 하더라고
  헉... 노견이야?
  힘든 수술이래?
  살이래!
  노견이네... 힘들겠다 강아지도 주인도
  힘든 수술은 아니래 다행히
  힘든 수술은 아니여서 다행이다!
  아그래? 다행이다. 잘됐으면 좋겠다
  소변에서 피가 섞여서 나온다고 하더라고 그래서 내일 병원 간다고 하더라
  수술 잘되고 회복도 빨리 됐으면 좋겠다.
  그러게"
282,일상 대화,"  엄마는 맨유가 좋아?
  리버풀이 좋아?
  맨유
  왜  대 으로 져서?
  아니. 느낌으로~
  맨유 선수 중에 아는 사람 있어?
  아니. 없어
  호날두 알아?
  응. 호날두는 알지~
  이름만?
  얼굴도 알아"
283,일상 대화,"  스포츠는 우리 역사와도 관계가 깊어
  특히 양궁과 태권도는 우리 전통 무술이야
  태권도 이제는 외국에서도 인기가 많아
  태권도장은 체력, 인품 모두 배울 수 있는 곳인 거 같아
  외국에서도 태권도장에서 다양한 프로그램 해줘서 인기 많데
  맞아. 태권도장에서 체험학습, 소풍도 가잖아
  육아의 큰 몫을 담당하고 있는 곳이야
  그렇게 변화해야 스포츠도 살아남는 세상이야
  우리아이도 조만간에 태권도장 보내야 겠어
  그래. 또래 친구들과 사교성도 키우고 좋은 기회 같아"
284,일상 대화,"  자녀 교육시 예체능 교육도 꼭 필요할까요?.
  물론 필요하겠지요. 예체능 쪽으로는 어떤 학원 보내보셨어요?
  저희는 미술학원, 피아노학원, 태권도학원 다 보내보았네요.
  아 그러시군요. 많이 시키셨네요.
  지금도 보내나요?
  아뇨 지금은 초등학교 고학년이라 다 끊고 영어수학 공부학원만 보내고 있어요
  아 그렇군요. 저도 태권도 도장을 운영하는 지인이 있는데 고학년 되면 학원 때문에 많이들 끊는다고 하더라구요.
  네 정말로 그런 것 같아요.
  저희도 학년까지만 다녔던 것 같아요.
  아 그렇군요. 아이들도 참 힘들겠어요.
  네 그래도 지금 생각하니 다 좋았다고 이야기해주어서 다행인 것 같아요.
  아 그렇군요 다행이네요."
285,일상 대화,"  웨이크 보드 타 보신 분
  웨이크 보드는 안 타 봄
  웨이크 보드 안 타봤어 
  아 그런 거 진짜 존잼일 듯
  는 잘 타나?
  왠지 운동 신경이 그 정도는
아니
  한번도 안 가봄!
  내 왠지 잘 탈 거 같다
  안될 것 같다 키키 뭔가
  엉 는 못하는 게 없어
  다들 타러 가볼래?
  재밌다던데 한번 빠지면
  근데 그거 비싸뎅
  어디 가서 타야 하노 가자!
  여름에 타러 가볼래? 키키
  분에 만원인가...? 소문이...
  보고 협찬 받아오라 할게
  타는데 또 비싸구나"
286,일상 대화,"  베란다에 곰팡이가 생겼어요 어떻게 해야 할까요?
  글쎄요. 저희 집은 모든 방이 곰팡이라서 뭐라 할 말이 없네요.
  곰팡이 제로 라고 있는데 그거 한번 써 보심이
  곰팡이 제로 한번 써봐야 겠네요 이러다 집이 동굴 될것 같아서 미리 제거 해야 겠어요
  이미 저희 집은 동굴이예요.
  아주 좋은 제품이 방금 홈쇼핑에서 나오네요
  어떤 제품이예요? 지금 검색해봐도 특별한게 없네요
  저는 그냥 이사를 가야겠네요.
  그걸로도 해결이 안 날 것 같아요.
  곰팡이 쓰리제로라고 엄청 좋아 보입니다
  한번 써봐야 겠네요 써보고 말씀 드릴께요
  부럽네요. 해결이 된다니.
  말씀안하셔도 됩니다 우리집은 곰팡이 아에 없어요"
287,일상 대화,"  요즘 모발이 얇아진 거 같아.
  너 모발 굵잖아. 나 방법 좀 알려줘.
  이거는 유전인데 나 모발관리 안 해.
  헐, 역시 유전이란... 부럽다.
  나도 굵은 편은 아닌데 관리 좀 해야겠다.
  정수리 비어있는건 아니지?
  정수리 많이 비었어...
  난 아직 비어있진 않아.
  두피 관리해 주는 가게 같은데 가보는 건 어때?
  그것도 생각해 봤는데 너무 창피해.
  모발이식도 하나의 방법이 될 수도 있어.
  창피해도 그냥 가.
  알겠어. 한 번 가볼게."
288,일상 대화,"  너는 알바해 본 적있어?
  나 알바 많이 해봤지 지금도 하고 있어 키키
  오 무슨 알바 하고있어?
  지금은 식당에서 서빙일 하고있어
  식당 알바 힘들다던데 할만해?
  처음엔 힘들었는데 하다보니까 익숙해지더라구
  맞아 처음엔 다 힘든데 익숙해지면 괜찮더라구 키키
  키키 맞아 근데 일은 괜찮은데 사람 때매 더 힘들어 
  헐 ㅜㅜ 사람 때문에 힘들어?
  응  술 마시고 진상부리는 사람도 많고 그래
  아 맞네 ㅜㅜ 식당이니깐 술 취한 사람들도 많겠다
  맞아, 그런 사람들 때문에 퇴근도 늦어지고 
  그런 사람들은 곱게 집에 갈리가 없어,
  맞아, 그런 사람들 안 왔으면 좋겠어!
  술 취한 진상 때문에 너가 고생이 많네 ㅜㅜ
  그치 
  언제 한번 가게 놀러와 서비스 많이 줄게!"
289,일상 대화,"  요즘 자기 전에 뭘 먹고 자서 그런지 속이 안 좋아.
  자기 전에 먹고 바로 자니까 그렇지!
  맞아, 자기 전에 먹는 습관은 건강에 안 좋아.
  밤 늦게 먹으니까 아침에 일어나서 학교를 가야해서 먹고 바로 자니까 피부도 안 좋아졌어.
  그리고 역류성 식도염에 걸릴 수도 있어.
  되도록이면 밤 늦게 먹지마.
  내 위장과 장의 건강을 위해서 줄여야겠어.
  한 번에 줄이면 더 힘들어.
  맞아, 차근차근 줄여!
  어떻게 줄여야 할까?
  칼로리가 높거나 맵고 짠 음식 대신 간이 약한 음식을 먹는데 양은 적게 먹거나 조금만 먹어도 포만감이 느껴지는 음식을 먹어.
  그리고 야식을 먹는 이유는 너가 저녁을 먹고 배가 고플 시간까지 안 자서 그런거니까 일찍 잠을 자.
  그렇게 해야겠어.
  야식은 건강에 안 좋아.
  맞아, 천천히 줄여봐."
290,일상 대화,"  감기 조심해 다들 
  코 너무 막힌다
맞아
  나도 씻으면서 코 엄청 흘림 키키
  나도 지금 감기 기운이 있는 거 같아 
  재채기 엄청 심한 것 같아 키키
  헐 그럼 너 감기 오고 있나 보네 키키
  야 너 몸 조심히 하고 다녀 키키
  그런가?
  그냥 비염 같기도 하고
  아 지금 비염 심해지고 있나 보네 
  한번 병원 가서 검사 받아 봐
  응 환절기라 그런 것 같아 키키
  소나무 가루 극혐이야
  아 지금 소나무 가루 날리고 있어?
뭐야
  벌써 가루 날리고 있는 거야?
  응  가을이라 그런 것 같더라고
  아 가을 지나면 겨울인데 키키 겨울이 더 싫어
  왜 나는 겨울 좋은데 키키
  언닌 겨울에 비염 더 심해져?
  나는 비염은 없어
  그냥 추워서 싫어 
맞아
  쟤 추위 엄청 타서 겨울 되면 안 나오더라 키키"
291,일상 대화,"  너네 조카들 완전 귀엽다 
맞아
  나도 사진 봤는데 너무 귀엽던데 
  처음엔 몰랐는데 갈 수록 이뻐 
  헐~ 언니 닮아서 이쁜 거 아닌가 하하
  그러게 키키
  완전 똘망똘망 하게 생겼어
  다들 반반 섞였다고 하는 거 같아 키키 매형이랑
  언니를 닮아야 해 키키
  나는 동생 있어 남동생
  나는 외동이야...
  너무 외로워 키키
  외동 ~ 좋지
  난 결혼 일찍 하고 싶은데 다들 결혼은 언제쯤 하고 싶어?
  음 나는 아직 어려서 생각이 없어 키키
  나도 아직 나이가 어려서...
  아직은~
  장단점이 있다 하더라
  정착된 삶이 좋고 자유도 필요하고 
  그렇지,
  나는 가족 꾸리는 게 두려워 키키
  그래?
  아직 나이가 어려서 그런가 봐 키키
  나중에 확 결혼하고 싶다 하는 생각이 들 때가 있지 않을까?
  나도 키키
  엄마 아빠 역할이 보통이 아닐 것 같아
  부담스럽기도 하고 아직은 생각이 없네~!
  부담이 되는데 그래도 가족이 좋아 하하"
292,일상 대화,"  넌 요즘 소개팅 제안 많이 들어와?
  아니 나 진짜 확 줄었어
  나도 대 되자마자 줄어들더라
  진짜 너무 슬프지 않아?
  내 말이… 마음만은 아직 대인데
  그래서 요즘엔 소개팅 오면 바로 받아
  나도 거를 처지가 아니야
  찬 밥 더운 밥 가릴 때가 아니지
  날 추워지니까 더 외롭다
  나도 옆구리가 너무 시려워~"
293,일상 대화,"  가족 여행 가봤니?
  가족 여행 가봤죠~
  요새 감성숙소가 유행이라던데 수도권에
  엄마빠랑 여행 가야 하는데
  가족 여행 너무 좋앙 
  근데 난 감성이 앞에 붙으면 왜케 오글거리지
  엄마빠랑 여행 가면 스트레스...
  엄빠랑 가면 꿀잼
  엄빠랑 가면 좀 내려놓아야 됨
  엄마빠 완전 새벽형이라 
  헐 왜 스트레스 받아 
  감성숙소는 예약하기가 힘들더라
  난 완전 올빼미거든...
  아아 맞다
  엄빠랑 가면 일찍 일나야 함...
  요새 박에 만 원은 하던데
  일어나는 거조차 힘듦
  새벽부터 일어나서 씻고 계심 키키
  새벽에 라면 끓이고 계심"
294,일상 대화,"  난 애니화 한 것보다 만화책이 더 좋은 것 같아
  헐 나도 그 감성이 있지
  애니는 뭔가 시간도 더 소비해야하고
  맞아 그리고 짤리는 부분도 있고
  퀄리티도 만화책이 더 좋잖아
  맞아 작화 구린 거 너무 많아
  성의없어져
  채색하면서 디자인 바뀌는 경우도 많고
  맞아 내가 상상한 게 아니면 싫다
  그냥 만화는 만화책으로만 남겨두길"
295,일상 대화,"  자기계발비로 어떤 교육 들으셨어요?
  저는 전화영어요 곧 CTO온데서 하하
  님은요?
  저는 아직 신청 안했는데 전화영어 해야겠어요
  저도 영어회화 들었었네요.
  얼마 남으셨어요 ?
  저는 만원정도 남은 거 같아요
  저는 교육은 끝났어요~
  만원 안되게 남았어요.
  남은 것도 교육들으실꺼에요?
  책 사실꺼에요?
  저는 교육 들어야겠어요
  저는 책으로 살까 싶어요!~
  진짜 만원이면 많이 남으셨네요 하하
  올해는 교육을 많이 못들었네요
  코로나라서요.
  저는 사고싶은 책이 없어요
  저는 전화영어 빨리 신청해야겠어요"
296,일상 대화,"  날씨가 추워지닌깐 따뜻한 물을 많이 마셔서 좋은거 같아요
  난 오히려 여름에 많이 마셨는데 요즘 거의 안 마셔요
  따뜻한물을 많이 마시니 건강에 좋은거 같아요
  그쵸 피부도 좋아지고
  장건강에도 확실히 좋은거 같아요
  근데 따뜻한 물은 맹물 마시기가 더 힘든거 같아요
  뭔가 넣어서 맛있게 먹음 더 좋겠죠
  맞아요 보리차라도 따뜻하게 먹어야겠어요
  우리애들은 보리차를 안 먹어서 안 끓이게 되요
  우린 여름엔 무조건 보리차에요"
297,일상 대화,"  생활하는데 주변 인프라 중요하지?
  마트나, 백화점 있으면 편하긴 하지
  재래시장은 어때? 별로야?
  재래시장이 확실히 물건이 저렴해.
  마트보다 상품이 안 좋아?
  난 농수산물 시장으로 다니는데 딱히 못 느꼈어
  주차공간이 협소하거나 하지 않아?
  예전에 길가에 주차했는데 요샌 주차타워가 있어
  장 보러 가기 편해졌네
  응 주위에 마트나, 시장 있으면 나 살기 좋았어"
298,일상 대화,"  햄스터들은 먹을 게 없으면 서로를 잡아먹는다는데...사실이야?
  햄스터가 자식 낳아서 먹는건 알아...
  진짜? 난 완전 처음 듣는 소리임...ㅜㅜ
  옆집애가 구경시켜주면서 말해줬는데 어릴때 공포였음
  햄스터도 먹을게 없으면 물고 뜯고 먹는가봐...
  와... 역시 양육강식은 변함없는 건가...
  양육강식이라기 보단 생존본능인 것 같아
  그거는 인간도 그럴껄?
  힝... 너무 잔인해...무서워...ㅜㅜ
  근데 넌 햄스터를 키우고싶어했지 어렸을때
  맞아 그래서 집에서 쫒겨날 뻔 했잖아
  아... 그땐 어려서 귀여운 건 모든 키우고싶어했어...히히"
299,일상 대화,"  나이 들어서 어디 살고 싶어?
  나는 실버타운 가고 싶어
  나는 단독주택에 살고 싶어
  주택 관리가 힘들지 않아?
  엄청 시설 좋은데
  관리는 생각 못 해 봤네
  실버타운 좋겠다
  애들 생각하면 주택도 좋은거 같은데
  나이 들어 단독주택은 힘들꺼 같애
  손주들 뛰어놀긴 좋지
  관리가 힘들대서
  그건 그렇겠네 손주들 생각하면...
  마당있는 집이 부러워"
300,일상 대화,"  잠을 안 자니까 머리가 어지러워.
  잠은 꼭 시간에서 시간은 푹 자야해!
  맞아, 수면이 건강과 연결 돼 있어.
  그럼 잠을 충분히 못 자면 어떻게 돼?
  하루 이틀 정도는 피곤한데 계속 그러면 생체리듬이 깨지고 무기력해져.
  그리고 운동 능력이랑 집중력도 떨어져.
  잠이 많이 중요하구나.
  수면이 생체리듬을 조절하니까 당연하지.
  그래서 웬만하면 시간에서 시간 정도 푹 자.
  더 오래 자면?
  더 오래 자면 건강에 해롭대.
  맞아!
  잘 지켜야겠네.
  억지로 지키려고 하면 스트레스로 불면증이 올 수도 있어.
  그리고 너무 피곤하면 낮에 낮잠을 자는걸 추천해."
301,일상 대화,"  군대는 학교 마치고 가는 거임?
  학년 마치고 가지 하하
  졸업하고 그 다음 달 바로 임관이에요 하하
  알오티씨들은 뭐야 도대체...? 키키
  오 멋지다 소위님 하하
  쉽게 말해서 병사들 관리?
  아 졸업하고 또 가는 거임?
  가서 초반에 병사들 군기를 잘 잡아야 됨 하하
  아마 형님은 잘 아실걸요 하하
  졸업하고 얼마나 복무하는데?
  안 그럼 병장들한테 먹힌다 너
  아뇨 대학 생활은 다 끝내고 군대 가는 거라
  우리 오빤 잘 몰라...
  아무 만만하게 본다고
  군 복무를 변경하는 거예요!
  키키 무슨 소리야 자꾸 키키
  웃겨 
  가서 초장부터 잡아야 돼
  키키 알았지
  키키 팁 감사합니다 하하"
302,일상 대화,"  어떡하지... 요즘 주름이 많아진 것 같아.
  난 잘 모르겠어 전혀 많지 않아.
  어디에 주름이 있다는 거야?
  아니야, 요즘 늦게 잤더니 많이 생겼어.
  그럼 빨리자. 게임 하지 말고.
  맞아, 빨리 자면 좋은 점이 많아.
  하... 로션을 바꿀까?
  로션도 바르고 수분크림이랑 많이 발라봐.
  그래, 집에 있는 거 있는대로 다 발라봐.
  그럴까? 꾸준히 바르면 나아지겠지?
  당연하지. 피부의 촉촉함을 유지해봐.
  잘 바르면 주름이 덜 생길 거 같아."
303,일상 대화,"  슈퍼마리오 좋아해요?
  좋아해요 어렸을때 엄청난 인기였죠
  요즘 이가 다른 집 가서 해보고 와서 얘기하더라구요
  저희도 가끔 닌텐도로 해요
  맞아요 닌텐도 게임... 나는 잘 못해요
  애들은 엄청 좋아하더라구요
  캐릭터도 잘 만든것 같아요
  그러닌깐요 게임 만드는사람들은 대단한거 같아요
  게임하나 만들어서 이렇게 대박 터뜨리면 좋겠어요
  아마 어마어마하겠죠?"
304,일상 대화,"  요즘 등교 거부자들이 많아서 문제가 되고 있대
  우리가 학교 다닐 때에는 등교 거부자가 없지 않았어?
  응, 그랬지. 그런데 요즘은 하루 이틀 빠지기 시작하더니 장기 결석을 하는 사례가 늘고 있대
  그런데 등교를 거부하는 특별한 이유가 있는거야?
  음, 은둔형 외톨이 알지? 요즘 그런 친구들이 많아지고 있나 봐
  사회적으로 도피해서 방 안을 안전하게 느끼고 있다는 얘기인데,
  코로나가 장기화되면서 사람을 대하는 게 무서워 진건가?
  그럴수도 있겠네, 요즘은 학생들이 너무 엄마의 보호 속에서만 크다 보니까
  자기 혼자 문제를 해결하는 게 어려운 것도 한 몫하는 것 같아.
  학교는 배움의 장이고, 그 중 사회화를 배울 수 있는 곳이기도 하잖아
  맞아, 그래서 학교의 필요성을 느끼고 학생 스스로 복귀할 수 있게
  가족간의 교감을 통해서 학생의 마음을 이해하는 시간이 필요할 것 같아
  그러게. 너무 다그치지만 말고 무슨 상황인지 먼저 알아 본 뒤
  잘 문제가 해결되어서 즐거운 마음으로 등교했으면 좋겠네"
305,일상 대화,"  헐 나 완전 개 토 나오는 기사 봤다
  오늘 무슨 기사 떴어요
  뭔데 
  나도 알려줘
  살짜리 아빠가 살짜리 엄마를
  키키 진짜 벌써 긴장된다
  헐 뭐라고? 뭐라고?
  성관계 안 해 준다고 때렸대
  헐 나이만 들어도...
  미친 거 아님? 살 엄마?
  애가 살인데 변기에 넣고
  진짜 미친 것 같네...
  이해가 안 되는데 무슨 소리야
  애가 살이래... 무슨...
  요즘 애들 왜 그럴까...
  헐 뭐야
  무슨 일이야?
  넘 토 나와 기사가
  살이 애기를 낳았단 말인가?
  이게 우리나라에서 일어났다고?"
